******WARNING: matches with the following IDs could not be processed. Please update scores manually: [71438473, 71501614, 71503001]
Colo-Colo,101419,0,122079,49058,0,0,0,0,0,0,0,0
Respekt,210453,0,387190,105352,0,0,0,0,0,0,0,0
mr clicks,0,272700,358361,0,43195,0,240714,245492,0,0,0,0
Jertis,0,0,89651,0,24583,0,50314,0,0,0,0,0
Talicrons,609635,0,293799,0,0,0,293369,0,187476,0,0,0
Wander1ng,562546,0,929670,168053,0,0,502331,1046189,636563,0,606075,0
jmir,142588,0,0,0,0,532292,915936,652165,0,219334,300639,76425
Reli4nce,43829,0,0,0,0,413427,235192,0,0,0,0,0
owsoo,376046,0,0,0,0,0,0,348347,244127,0,461298,0
wakinho,301377,0,0,0,0,0,0,324284,316508,0,182436,0
Tree_TV,0,0,577076,0,0,0,0,900528,0,0,833857,0
lajodajons,0,0,275712,0,0,0,0,530342,0,0,776542,0
Anv0rteP,431916,0,0,187056,0,0,0,402532,0,0,387410,0
iotg9,237905,0,0,182537,0,0,0,0,0,0,149984,0
JamDodger,389484,236969,0,0,291318,0,0,0,417625,0,906533,0
bobwksjl,371350,0,0,0,251531,0,0,0,331222,0,0,0
leokohler,379622,0,0,0,134685,0,0,0,154526,450020,0,0
Toastero,321915,0,0,0,129820,0,0,0,433021,151935,0,0
kaygoldi,309150,247062,305832,0,0,0,0,0,438207,0,468521,0
ensns,333363,0,174371,0,0,0,0,0,216418,0,283208,0
aztakey,0,321797,452354,0,0,0,0,612691,0,0,645367,0
freedom4gerbils,0,176907,307153,0,0,0,0,0,0,0,331812,0
Pippy,517532,392586,0,0,0,0,0,0,323899,0,367113,137189
Dimento,187041,155207,0,0,0,0,0,0,409080,0,333691,112533
BadLvckCharm,439332,663141,0,0,67761,0,0,0,0,0,248283,0
Arikarino,703654,575003,0,228548,203742,0,0,586530,0,0,718385,233897
FlamingSparrow,357361,0,475529,0,134853,0,0,557302,435060,0,826208,252056
pikarichu,367842,0,393067,0,69875,0,0,0,0,0,267031,124598
Xanato,438519,201089,289211,0,134658,0,0,185570,0,0,578228,0
hattoruu,186735,104750,0,0,99107,0,0,213476,0,0,144415,0
koalacube500,0,0,573616,0,266862,108112,0,858822,0,0,0,281764
cybxr,0,0,430590,0,137823,116925,0,1045094,0,0,0,141671
Flux3on,503408,196632,0,0,0,0,0,0,233032,236514,0,74250
CysmixCyclone,466468,252294,0,0,0,0,0,0,452715,88867,0,187690
clapster,0,496871,593314,0,0,0,0,0,585414,0,654631,152407
Luxxias,0,507613,804755,0,0,0,0,0,582679,0,499690,147003
IMaxwellI,727164,350527,0,0,0,0,0,887912,0,0,909678,0
-wicked-,512412,664415,0,0,0,0,0,824784,0,0,587179,0
pecefulpro,0,352447,0,0,0,199845,0,0,0,0,504731,0
Alyaforest,0,298392,0,0,0,199212,0,0,0,0,404773,0
f a u x,657894,0,849692,0,570824,0,0,0,0,0,562694,0
Hoper22,290767,0,471435,0,164674,0,0,0,0,0,528640,0
WesomePizza,0,380290,330345,0,0,0,513380,542160,0,0,0,0
Xrmion,0,0,877119,0,0,0,0,852162,866668,0,717304,0
ADancingPot,0,0,0,0,0,0,0,867752,488395,0,630159,0
Stewlax,0,0,0,0,0,0,619617,0,429618,0,975489,0
BillySaywer,0,0,0,0,0,0,71247,0,415630,0,298656,0
SyWier,958591,876115,0,0,0,0,0,0,0,0,994406,0
Wh3rst,0,434751,0,0,396985,0,389794,0,0,98752,0,170896
phoque_me,0,225198,0,0,135437,0,750689,0,0,368457,0,174849
Darcovian,971288,0,587125,0,0,0,0,0,0,0,624717,0
Juniper,598975,0,610928,0,0,0,152870,0,656450,0,0,316550
TigwerSparkz,397054,0,257945,0,0,0,351444,0,428920,0,0,124406
DrAgOnnnn,0,0,0,0,0,150154,0,443280,0,243199,455258,238645
INeedHelp1,0,0,288319,192416,0,0,0,620843,0,0,596451,0
Andy26,665250,0,0,374413,0,0,0,318211,0,0,1006673,607460
mdee5,455893,0,0,0,0,0,0,872234,0,0,826942,0
Fungucide,0,661099,0,0,402615,0,0,0,1029472,0,686975,0
Decagons,0,411944,0,0,0,0,0,855382,0,0,585544,0
_ToKsin_,286131,0,208542,0,0,0,0,223062,0,0,0,0
Sparklol,310752,0,503826,0,0,0,0,375765,0,0,0,0
